###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59130.249341 -18.617  0.081  -130   10 c  0   1.08 276.37128  -6.08161  8988.43  3593.26 2.46 2.29 -67.7 -0.440 19.54 21.19 02a59130o0117c
59130.252555 -18.610  0.102  -131   13 c  0   0.81 276.37128  -6.08161  8969.23  3554.37 2.55 2.38 -64.0 -0.434 19.52 21.19 02a59130o0124c
59130.258554 -18.769  0.117  -113   13 c  0   0.86 276.37128  -6.08161  9028.29  3631.67 2.61 2.42 -64.3 -0.431 19.48 21.19 02a59130o0137c
59130.270081 -18.516  0.088  -142   13 c  0   0.77 276.37128  -6.08161  9049.26  3513.12 2.62 2.47 -63.1 -0.430 19.48 21.19 02a59130o0162c
59132.222173 -16.472  0.032  -936   30 o  0   1.67 276.37128  -6.08161  3758.86  2508.90 1.98 1.83  13.2 -0.427 18.14 19.08 01a59132o0043o
59132.225035 -16.213  0.269 -1188  320 o  0   0.66 276.37128  -6.08161  3778.69  2547.61 2.08 1.87   7.7 -0.430 16.88 17.83 01a59132o0049o
59132.231227 -15.991  0.160 -1457  232 o  0   1.10 276.37128  -6.08161  3720.72  2470.50 2.00 1.77   4.6 -0.458 16.48 17.35 01a59132o0062o
59132.242211 -16.354  0.048 -1043   50 o  0   1.33 276.37128  -6.08161  3701.93  2587.81 2.09 1.85   0.9 -0.484 18.00 18.94 01a59132o0085o
59136.259283 -16.627  0.003  -811    2 o  0  58.34 276.37128  -6.08161  1821.14  2628.71 2.04 1.93  -3.1 -0.436 19.09 20.19 01a59136o0377o
59136.268957 -16.446  0.011  -958   10 o  0   2.05 276.37128  -6.08161  1778.98  2588.00 2.62 2.51  42.1 -0.386 18.96 20.13 01a59136o0398o
59136.280468 -16.446  0.017  -959   16 o  0   1.35 276.37128  -6.08161  1758.13  2704.02 3.01 2.78  16.3 -0.433 18.92 20.02 01a59136o0423o
59138.258710 -18.613  0.106  -130   14 c  0   0.94 276.37128  -6.08161  4931.96 10103.91 2.52 2.36 -60.1 -0.426 19.49 20.96 02a59138o0147c
59138.262377 -18.313  0.075  -172   13 c  0   1.35 276.37128  -6.08161  4911.71 10064.29 2.57 2.36 -54.9 -0.426 19.52 20.96 02a59138o0155c
59138.268786 -18.702  0.129  -120   16 c  0   0.86 276.37128  -6.08161  4968.66 10142.62 2.54 2.31 -52.0 -0.431 19.46 20.93 02a59138o0169c
